idPhanLoai,idPhanLoaiCha,tenKhoaHoc,tenTiengViet,tenTiengAnh,bacPhanLoai_vi,bacPhanLoai_en,ghiChu
1,,Mammalia,Thú,,Lớp,Class,
2,,Aves,Chim,,Lớp,Class,
3,,Reptilia,Bò sát,,Lớp,Class,
4,,Amphibia,Lưỡng cư,,Lớp,Class,
5,,Actinopterygii,Cá xương,,Lớp,Class,
6,1.0,Artiodactyla,Guốc chẵn,,Bộ,Order,
7,1.0,Carnivora,Ăn thịt,,Bộ,Order,
8,1.0,Chiroptera,Dơi,,Bộ,Order,
9,1.0,Pholidota,Có vảy,,Bộ,Order,
10,1.0,Primates,Linh trưởng,,Bộ,Order,
11,1.0,Rodentia,Gặm nhấm,,Bộ,Order,
12,1.0,Scandentia,Nhiều răng,,Bộ,Order,
13,2.0,Accipitriformes,Ưng,,Bộ,Order,
14,2.0,Coraciiformes,Sả,,Bộ,Order,
15,2.0,Anseriformes,Ngỗng,,Bộ,Order,
16,2.0,Suliformes,Cổ rắn,,Bộ,Order,
17,2.0,Pelecaniformes,Bồ nông,,Bộ,Order,
18,2.0,Caprimulgiformes,Cú muỗi,,Bộ,Order,
19,2.0,Passeriformes,Sẻ,,Bộ,Order,
20,2.0,Ciconiiformes,Hạc,,Bộ,Order,
21,2.0,Columbiformes,Bồ câu,,Bộ,Order,
22,2.0,Cuculiformes,Cu cu,,Bộ,Order,
23,2.0,Charadriiformes,Choi choi,,Bộ,Order,
24,2.0,Piciformes,Gõ kiến,,Bộ,Order,
25,2.0,Podicipediformes,Chim lặn,,Bộ,Order,
26,2.0,Gruiformes,Sếu,,Bộ,Order,
27,2.0,Strigiformes,Cú,,Bộ,Order,
28,3.0,Squamata,Có vảy,,Bộ,Order,
29,3.0,Testudines,Rùa,,Bộ,Order,
30,4.0,Anura,Không đuôi,,Bộ,Order,
31,4.0,Gymnophiona,Không chân,,Bộ,Order,
32,5.0,Anabantiformes,Cá rô đồng,,Bộ,Order,
33,5.0,Siluriformes,Cá da trơn,,Bộ,Order,
34,5.0,Cypriniformes,Cá chép,,Bộ,Order,
35,5.0,Synbranchiformes,Lươn,,Bộ,Order,
36,5.0,Osteoglossiformes,Cá thát lát,,Bộ,Order,
37,5.0,Synbranchiformes,Lươn,,Bộ,Order,
38,5.0,Beloniformes,Cá kìm,,Bộ,Order,
39,6.0,Cervidae,Hưu nai,,Họ,Family,
40,6.0,Suidae,Lợn,,Họ,Family,
41,7.0,Felidae,Mèo,,Họ,Family,
42,7.0,Herpestidae,Cầy lỏn,,Họ,Family,
43,7.0,Mustelidae,Chồn,,Họ,Family,
44,7.0,Viverridae,Cầy,,Họ,Family,
45,8.0,Pteropodidae,Dơi quả,,Họ,Family,
46,8.0,Vespertilionidae,Dơi muỗi,,Họ,Family,
47,9.0,Manidae,Tê tê,,Họ,Family,
48,10.0,Cercopithecidae,Khỉ,,Họ,Family,
49,11.0,Muridae,Chuột,,Họ,Family,
50,11.0,Sciuridae,Sóc,,Họ,Family,
51,12.0,Tupaiidae,Đồi,,Họ,Family,
52,13.0,Accipitridae,Ưng,,Họ,Family,
53,14.0,Alcedinidae,Bói cá,,Họ,Family,
54,15.0,Anatidae,Vịt,,Họ,Family,
55,16.0,Anhingidae,Cổ rắn,,Họ,Family,
56,17.0,Ardeidae,Diệc,,Họ,Family,
57,19.0,Campephagidae,Phường chèo,,Họ,Family,
58,18.0,Caprimulgidae,Cú muỗi,,Họ,Family,
59,19.0,Cisticolidae,Chiền chiện,,Họ,Family,
60,20.0,Ciconiidae,Hạc,,Họ,Family,
61,21.0,Columbidae,Bồ câu,,Họ,Family,
62,19.0,Coraciidae,Sả rừng,,Họ,Family,
63,19.0,Aegithinidae,Chim nghệ,,Họ,Family,
64,19.0,Corviidae,Quạ,,Họ,Family,
65,19.0,Dicruridae,Chèo bẻo,,Họ,Family,
66,19.0,Rhipiduridae,Rẻ quạt,,Họ,Family,
67,22.0,Cuculidea,Cu cu,,Họ,Family,
68,23.0,Glareolidae,Dô nách,,Họ,Family,
69,19.0,Hirundinidae,Nhạn,,Họ,Family,
70,23.0,Jacanidae,Gà lôi nước,,Họ,Family,
71,19.0,Laniidae,Bách thanh,,Họ,Family,
72,14.0,Meropidea,Trảu,,Họ,Family,
73,19.0,Muscicapidae,Đớp ruồi,,Họ,Family,
74,19.0,Dicaeida,Chim sâu,,Họ,Family,
75,19.0,Nectariniidae,Hút mật,,Họ,Family,
76,13.0,Pandionidae,Ó cá,,Họ,Family,
77,19.0,Pardalotidae,Chích bụng vàng,,Họ,Family,
78,19.0,Passeridae,Sẻ,,Họ,Family,
79,19.0,Estrildidae,Chim di,,Họ,Family,
80,19.0,Pellorneidae,Chuối tiêu,,Họ,Family,
81,17.0,Phalacrocoracidae,Cốc,,Họ,Family,
82,24.0,Picidae,Gõ kiến,,Họ,Family,
83,25.0,Podicipedidae,Chim lặn,,Họ,Family,
84,19.0,Pycnonotidae,Chào mào,,Họ,Family,
85,26.0,Rallidae,Gà nước,,Họ,Family,
86,27.0,Strigidae,Cú mèo,,Họ,Family,
87,19.0,Sturnidae,Sáo,,Họ,Family,
88,19.0,Acrocephalidae,Chích,,Họ,Family,
89,19.0,Timaliidae,Khứu,,Họ,Family,
90,19.0,Locustellidae,Chích đầm lầy,,Họ,Family,
91,27.0,Tytonidae,Cú lợn,,Họ,Family,
92,19.0,Zosteropidae,Vành khuyên,,Họ,Family,
93,28.0,Agamidae,Nhông,,Họ,Family,
94,29.0,Bataguridae,Rùa đầm,,Họ,Family,
95,28.0,Colubridae,Rắn nước,,Họ,Family,
96,28.0,Cylindrophiidae,Rắn trun,,Họ,Family,
97,28.0,Elapidae,Rắn hổ,,Họ,Family,
98,28.0,Gekkonidae,Tắc kè,,Họ,Family,
99,28.0,Homalopsidae,Rắn ri,,Họ,Family,
100,28.0,Lacertidae,Thằn lằn,,Họ,Family,
101,28.0,Pythonidae,Trăn,,Họ,Family,
102,28.0,Scincidae,Thằn lằn bóng,,Họ,Family,
103,28.0,Typhlopidae,Rắn giun,,Họ,Family,
104,28.0,Varanidae,Kỳ đà,,Họ,Family,
105,28.0,Viperidae,Rắn lục,,Họ,Family,
106,28.0,Xenopeltidae,Rắn mống,,Họ,Family,
107,30.0,Bufonidae,Cóc,,Họ,Family,
108,30.0,Rhacophoridae,Ếch cây,,Họ,Family,
109,30.0,Ranidae,Ếch nhái,,Họ,Family,
110,30.0,Dicroglossidae,Ếch nhái chính thức,,Họ,Family,
111,31.0,Ichthyophiidae,Ếch giun,,Họ,Family,
112,32.0,Anabantidae,Rô đồng,,Họ,Family,
113,33.0,Clariidae,Cá trê,,Họ,Family,
114,34.0,Danionidae,Cá Lòng tong,,Họ,Family,
115,35.0,Mastacembelidae,Chạch sông,,Họ,Family,
116,36.0,Notopteridae,Thát lát,,Họ,Family,
117,32.0,Channidae,Cá lóc,,Họ,Family,
118,32.0,Osphronemidae,Tai tượng,,Họ,Family,
119,32.0,Pristolepididae,Rô biển,,Họ,Family,
120,33.0,Siluridae,Cá nheo,,Họ,Family,
121,37.0,Synbranchidae,Lươn,,Họ,Family,
122,38.0,Zenarchopteridae,Lìm kìm,,Họ,Family,
123,39.0,Rusa unicolor,Nai,Sambar / Sambar deer,Loài,Species,
124,40.0,Sus scrofa,Heo rừng,Wild boar / Wild pig,Loài,Species,
125,41.0,Prionailurus bengalensis,Mèo rừng,Leopard cat,Loài,Species,
126,41.0,Prionailurus viverrinus,Mèo cá,Fishing cat,Loài,Species,
127,42.0,Herpestes javanicus,Cầy lỏn tranh,Small Asian mongoose / Javan mongoose,Loài,Species,
128,42.0,Herpestes urva,Cầy móc cua,Crab-eating mongoose,Loài,Species,
129,43.0,Aonyx cinerea,Rái cá vuốt bé,Asian small-clawed otter,Loài,Species,
130,43.0,Lutrogale perspicillata,Rái cá lông mượt,Smooth-coated otter,Loài,Species,
131,43.0,Lutra sumatrana,Rái cá lông mũi,Hairy-nosed otter,Loài,Species,
132,43.0,Lutra lutra,Rái cá thường,Eurasian otter / Common otter / European otter,Loài,Species,
133,44.0,Paradoxurus hermaphroditus,Cầy vòi hương,Asian palm civet / Common palm civet,Loài,Species,
134,44.0,Viverricula indica,Cầy hương,Small Indian civet,Loài,Species,
135,44.0,Viverra zibetha,Cầy giông,Large Indian civet,Loài,Species,
136,45.0,Cynopterus brachyotis,Dơi chó tai ngắn,Lesser short-nosed fruit bat / Lesser dog-faced fruit bat,Loài,Species,
137,45.0,Pteropus vampyrus,Dơi ngựa lớn,Large flying fox,Loài,Species,
138,45.0,Pteropus lylei,Dơi ngựa ly-lê,Lyle's flying fox,Loài,Species,
139,46.0,Scotophilus kuhlii,Dơi nâu,Lesser Asiatic yellow bat / Kuhl's pipistrelle,Loài,Species,
140,46.0,Kerivoula picta,Dơi mũi nhẵn đốm vàng,Painted bat / Painted woolly bat,Loài,Species,
141,47.0,Manis javanica,Tê tê Java,Sunda pangolin / Malayan pangolin,Loài,Species,
142,48.0,Macaca fascicularis,Khỉ đuôi dài,Long-tailed macaque / Crab-eating macaque,Loài,Species,
143,49.0,Rattus tanezumi,Chuột nhà,Asian house rat / Oriental house rat,Loài,Species,
144,49.0,Rattus norvegicus,Chuột cống,Brown rat / Norway rat,Loài,Species,
145,50.0,Callosciurus finlaysonii,Sóc đỏ,Finlayson's squirrel,Loài,Species,
146,51.0,Tupaia belangeri,Đồi,Northern treeshrew,Loài,Species,
147,52.0,Butastur indicus,Diều Ấn Độ,Grey-faced buzzard,Loài,Species,
148,52.0,Circus aeruginosus,Diều đầu trắng,Western marsh harrier / Eurasian marsh harrier,Loài,Species,
149,52.0,Elanus caeruleus,Diều trắng,Black-winged kite / Black-shouldered kite,Loài,Species,
150,52.0,Milvus migrans,Diều hâu,Black kite,Loài,Species,
151,52.0,Spilornis cheela,Diều hoa Miến Điện,Crested serpent eagle,Loài,Species,
152,53.0,Alcedo atthis,Bồng chanh,Common kingfisher / River kingfisher,Loài,Species,
153,54.0,Anas poecilorhyncha,Vịt trời,Indian spot-billed duck,Loài,Species,
154,54.0,Dendrocygna javanica,Le nâu,Lesser whistling duck,Loài,Species,
155,54.0,Nettapus coromandelianus,Le khoang cổ,Cotton pygmy goose / Cotton teal,Loài,Species,
156,55.0,Anhinga melanogaster,Điêng điểng,Oriental darter,Loài,Species,
157,56.0,Ardea purpurea,Diệc lửa,Purple heron,Loài,Species,
158,56.0,Ardea cinerea,Diệc xám,Grey heron,Loài,Species,
159,56.0,Ardea intermedia,Cò ngàng nhỏ,Intermediate egret,Loài,Species,
160,56.0,Ardeola bacchus,Cò bợ,Chinese pond heron,Loài,Species,
161,56.0,Ardeola speciosa,Cò bợ Mã Lai,Javan pond heron,Loài,Species,
162,56.0,Butorides striata,Cò xanh,Striated heron / Little heron,Loài,Species,
163,56.0,Egretta garzetta,Cò trắng,Little egret,Loài,Species,
164,56.0,Ixobrychus cinnamomeus,Cò lửa,Cinnamon bittern,Loài,Species,
165,56.0,Ixobrychus flavicollis,Cò hương,Black bittern,Loài,Species,
166,56.0,Ixobrychus sinensis,Cò lửa lùn,Yellow bittern,Loài,Species,
167,56.0,Nycticorax nycticorax,Vạc,Black-crowned night heron,Loài,Species,
168,57.0,Coracina macei,Phường chèo xám lớn,Large cuckooshrike,Loài,Species,
169,57.0,Coracina polioptera,Phường chèo xám nhỏ,Indochinese cuckooshrike,Loài,Species,
170,58.0,Caprimulgus macrurus,Cú muỗi đuôi dài,Large-tailed nightjar,Loài,Species,
171,59.0,Cisticola juncidis,Chiền chiện đồng hung,Zitting cisticola,Loài,Species,
172,59.0,Prinia inornata,Chiền chiện bụng hung,Plain prinia,Loài,Species,
173,59.0,Prinia flaviventris,Chiền chiện bụng vàng,Yellow-bellied prinia,Loài,Species,
174,59.0,Orthotomus atrogularis,Chích bông cánh vàng,Dark-necked tailorbird,Loài,Species,
175,59.0,Orthotomus sutorius,Chích đuôi dài,Common tailorbird,Loài,Species,
176,60.0,Leptoptilos javanicus,Già đẩy Java,Lesser adjutant,Loài,Species,
177,60.0,Mycteria leucocephala,Giang sen,Painted stork,Loài,Species,
178,61.0,Chalcophaps indica,Cu luồng,Common emerald dove / Emerald dove,Loài,Species,
179,61.0,Geopelia striata,Cu vằn,Zebra dove / Barred ground dove,Loài,Species,
180,61.0,Spilopelia chinensis,Cu gáy,Spotted dove,Loài,Species,
181,61.0,Streptopelia senegalensis,Cu ngói,Laughing dove,Loài,Species,
182,61.0,Treron pompadora,Cu xanh đuôi đen,Pompadour green pigeon,Loài,Species,
183,61.0,Treron vernans,Cu xanh đầu xám,Pink-necked green pigeon,Loài,Species,
184,61.0,Treron bicinctus,Cu xanh khoang cổ,Orange-breasted green pigeon,Loài,Species,
185,62.0,Coracias benghalensis,Sả rừng,Indian roller,Loài,Species,
186,63.0,Aegithina tiphia,Chim nghệ ngực vàng,Common iora,Loài,Species,
187,64.0,Crypsirina temia,Chim khách,Racket-tailed treepie,Loài,Species,
188,65.0,Dicrurus remifer,Chèo bẻo cờ đuôi bằng,Lesser racket-tailed drongo,Loài,Species,
189,65.0,Dicrurus macrocercus,Chèo bẻo,Black drongo,Loài,Species,
190,65.0,Dicrurus paradiseus,Chèo bẻo đuôi chẻ,Greater racket-tailed drongo,Loài,Species,
191,65.0,Dicrurus leucophaeus,Chèo bẻo xám,Ashy drongo,Loài,Species,
192,66.0,Rhipidura javanica,Rẻ quạt Java,Malaysian pied fantail,Loài,Species,
193,67.0,Cacomantis merulinus,Tìm vịt,Plaintive cuckoo,Loài,Species,
194,67.0,Cacomantis sonneratii,Tìm vịt vằn,Banded bay cuckoo,Loài,Species,
195,67.0,Eudynamys scolopacea,Tu hú,Asian koel,Loài,Species,
196,67.0,Phaenicophaeus tristis,Phướn,Green-billed malkoha,Loài,Species,
197,67.0,Centropus sinensis,Bìm bịp lớn,Greater coucal,Loài,Species,
198,67.0,Centropus bengalensis,Bìm bịp nhỏ,Lesser coucal,Loài,Species,
199,68.0,Glareola maldivarum,Dô nách nâu,Oriental pratincole,Loài,Species,
200,53.0,Halcyon smyrnensis,Sả đầu nâu,White-throated kingfisher / White-breasted kingfisher,Loài,Species,
201,53.0,Pelargopsis capensis,Sả mỏ rộng,Stork-billed kingfisher,Loài,Species,
202,69.0,Hirundo rustica,Nhạn bụng trắng,Barn swallow,Loài,Species,
203,69.0,Riparia riparia,Nhạn nâu xám,Sand martin / Bank swallow,Loài,Species,
204,70.0,Metopidius indicus,Gà lôi nước Ấn độ,Bronze-winged jacana / Pheasant-tailed jacana,Loài,Species,
205,71.0,Lanius cristatus,Bách thanh mày trắng,Brown shrike,Loài,Species,
206,72.0,Merops philippinus,Trảu ngực nâu,Blue-tailed bee-eater,Loài,Species,
207,73.0,Copsychus saularis,Chích chòe than,Oriental magpie-robin,Loài,Species,
208,74.0,Dicaeum cruentatum,Chim sâu lưng đỏ,Scarlet-backed flowerpecker,Loài,Species,
209,75.0,Nectarinia jugularis,Hút mật họng tím,Olive-backed sunbird,Loài,Species,
210,75.0,Leptocoma brasiliana,Hút mật họng hồng,Van Hasselt's sunbird,Loài,Species,
211,76.0,Pandion haliaetus,Ó cá,Osprey,Loài,Species,
212,77.0,Phylloscopus griseolus,Chích bụng vàng,Sulphur-bellied warbler,Loài,Species,
213,78.0,Passer flaveolus,Sẻ bụi vàng,Plain-backed sparrow,Loài,Species,
214,78.0,Passer montanus,Sẻ,Eurasian tree sparrow,Loài,Species,
215,79.0,Lonchura punctulata,Di đá,Scaly-breasted munia / Spotted munia,Loài,Species,
216,79.0,Lonchura striata,Di cam,White-rumped munia,Loài,Species,
217,80.0,Pellorneum ruficeps,Chuối tiêu ngực đốm,Puff-throated babbler,Loài,Species,
218,81.0,Microcarbo niger,Còng cọc,Little cormorant,Loài,Species,
219,82.0,Dendrocopos canicapillus,Gõ kiến nhỏ đầu xám,Grey-capped pygmy woodpecker,Loài,Species,
220,83.0,Tachybaptus ruficollis,Le hôi,Little grebe,Loài,Species,
221,84.0,Pycnonotus blanfordi,Bông lau tai vằn,Streak-eared bulbul,Loài,Species,
222,84.0,Pycnonotus goiavier,Bông lau mày trắng,Yellow-vented bulbul,Loài,Species,
223,85.0,Amaurornis phoenicurus,Cuốc ngực trắng,White-breasted waterhen,Loài,Species,
224,85.0,Gallicrex cinerea,Cúm núm,Watercock,Loài,Species,
225,85.0,Gallinula chloropus,Trích ré,Common moorhen,Loài,Species,
226,85.0,Porphyrio porphyrio,Trích cồ,Purple swamphen,Loài,Species,
227,85.0,Porzana fusca,Cuốc ngực nâu,Ruddy-breasted crake,Loài,Species,
228,86.0,Ketupa flavipes,Dù dì hung,Tawny fish owl,Loài,Species,
229,86.0,Otus sunia,Cú mèo nhỏ,Oriental scops owl,Loài,Species,
230,87.0,Acridotheres tristis,Sáo nâu,Common myna,Loài,Species,
231,87.0,Sturnia malabarica,Sáo đá đuôi hung,Chestnut-tailed starling,Loài,Species,
232,87.0,Sturnia sinensis,Sáo đá Trung Quốc,White-shouldered starling,Loài,Species,
233,87.0,Sturnus nigricollis,Sáo sậu,Black-collared starling,Loài,Species,
234,88.0,Acrocephalus bistrigiceps,Chích đầu nhọn mày đen,Black-browed reed warbler,Loài,Species,
235,88.0,Acrocephalus orientalis,Chích đầu nhọn phương đông,Oriental reed warbler,Loài,Species,
236,89.0,Mixornis gularis,Chích chạch má vàng,Striped tit-babbler,Loài,Species,
237,89.0,Timalia pileata,Họa mi nhỏ,Chestnut-capped babbler,Loài,Species,
238,90.0,Megalurus palustris,Chiền chiện lớn,Striated grassbird,Loài,Species,
239,90.0,Locustella certhiola,Chích đầm lầy lớn,Pallas's grasshopper warbler,Loài,Species,
240,91.0,Tyto alba,Cú lợn lưng xám,Barn owl / Common barn owl,Loài,Species,
241,91.0,Phodilus badius,Cú lợn rừng,Oriental bay owl,Loài,Species,
242,92.0,Zosterops palpebrosus,Vành khuyên,Indian white-eye,Loài,Species,
243,93.0,Calotes mystaceus,Nhông xám,Blue-crested lizard / Indo-Chinese forest lizard,Loài,Species,
244,93.0,Calotes versicolor,Nhông hàng rào,Oriental garden lizard / Changeable lizard,Loài,Species,
